# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar  5 09:26:24 2023
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN especlipdep:    Eclipse Depth [percentage]
# COLUMN especlipdeperr1: Eclipse Depth Upper Unc. [percentage]
# COLUMN especlipdeperr2: Eclipse Depth Lower Unc. [percentage]
# COLUMN especlipdeplim: Eclipse Depth Limit Flag
# COLUMN espbritemp:     Brightness temperature [K]
# COLUMN espbritemperr1: Brightness temperature Upper Unc. [K]
# COLUMN espbritemperr2: Brightness temperature Lower Unc. [K]
# COLUMN espbritemplim:  Brightness temperature Limit Flag
# COLUMN plntreflink:    Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,plntreflink,facility,instrument
WASP-12 b,5.8000,,0.696000,0.060000,-0.060000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-12 b,8.0000,,0.696000,0.096000,-0.096000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-43 b,1.1425,0.0350,0.036700,0.004500,-0.004500,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.1775,0.0350,0.043100,0.003600,-0.003600,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.2125,0.0350,0.041400,0.003800,-0.003800,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.2475,0.0350,0.048200,0.003600,-0.003600,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.2825,0.0350,0.046000,0.003700,-0.003700,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.3175,0.0350,0.047300,0.003300,-0.003300,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.3525,0.0350,0.035300,0.003400,-0.003400,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.3875,0.0350,0.031300,0.003000,-0.003000,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
